time,ax,ay,az,gx,gy,gz,label
1632,-0.158,0.132,12.821,-1.238,5.279,-4.647,0
1656,-0.136,0.026,12.907,-1.223,5.195,-4.434,0
1680,-0.187,0.017,12.790,-0.735,3.714,-5.144,0
1704,-0.192,-0.014,12.862,0.113,1.546,-7.006,0
1728,-0.488,0.045,12.871,1.494,-5.064,-6.365,0
1752,-0.290,0.005,12.950,2.227,-8.904,-2.518,0
1776,-0.172,0.026,12.938,4.571,-10.568,0.803,0
1800,-0.199,0.089,12.766,3.250,-5.721,-0.365,0
1824,0.541,0.328,12.993,0.655,-2.896,-1.663,0
1848,0.144,0.223,12.735,0.884,0.424,-6.632,0
1872,0.002,0.079,12.893,-2.773,1.241,-7.342,0
1896,-0.146,0.129,12.828,-3.353,2.134,-7.960,0
1920,-0.101,0.065,12.991,-1.864,4.317,-6.243,0
1944,-0.177,0.007,12.866,-0.880,3.081,-6.472,0
1968,-0.132,0.057,12.838,-0.544,1.867,-7.388,0
1992,-0.225,0.115,12.847,-0.727,2.600,-8.197,0
2016,-0.285,0.022,12.886,-0.964,4.004,-6.449,0
2040,-0.247,-0.010,12.811,-0.338,1.340,-4.289,0
2064,-0.170,0.036,12.890,-0.193,0.600,-2.770,0
2088,-0.206,0.024,12.883,0.265,-1.415,-2.617,0
2112,-0.170,0.029,12.795,0.426,-2.232,-2.472,0
2136,-0.242,0.002,12.835,-0.040,-0.041,-1.945,0
2160,-0.175,0.043,12.835,0.273,-2.110,-1.403,0
2184,-0.098,0.014,12.732,0.601,-2.560,-2.174,0
2208,-0.158,0.038,12.862,-0.315,1.142,-2.678,0
2232,-0.165,0.041,12.828,-0.208,0.340,-2.327,0
2256,-0.160,0.024,12.838,0.090,-0.118,-2.586,0
2280,-0.227,0.000,12.840,0.166,-0.171,-1.915,0
2304,-0.139,0.065,12.850,-0.063,0.508,-2.021,0
2328,-0.091,0.045,12.862,0.021,0.424,-2.556,0
2352,-0.067,-0.029,12.723,-0.185,3.249,-2.846,0
2376,-0.220,0.029,12.900,-0.055,4.065,-2.747,0
2400,-0.225,0.029,12.859,0.533,2.310,-2.731,0
2424,-0.235,0.074,12.878,0.685,1.058,-2.785,0
2448,-0.196,0.014,12.859,0.327,1.241,-3.067,0
2472,-0.244,0.007,12.910,0.243,1.417,-2.762,0
2496,-0.266,0.034,12.838,0.334,-0.408,-2.647,0
2520,-0.247,0.050,12.821,0.456,-1.591,-2.663,0
2544,-0.196,0.029,12.878,0.479,-1.858,-2.647,0
2568,-0.215,0.029,12.910,0.349,-1.469,-2.655,0
2592,-0.208,-0.007,12.842,0.540,-1.828,-2.617,0
2616,-0.153,0.050,12.785,0.502,-1.415,-2.487,0
2640,-0.189,0.026,12.768,0.403,-1.194,-2.632,0
2664,-0.235,0.048,12.795,0.533,-1.767,-2.144,0
2688,-0.175,0.069,12.795,0.815,-1.797,-1.594,0
2712,-0.103,0.050,12.838,1.288,-1.828,-1.487,0
2736,-0.141,0.024,12.752,2.601,-1.377,-1.693,0
2760,-0.115,0.084,12.845,2.212,-2.347,-1.708,0
2784,-0.192,0.117,12.924,2.624,-1.812,-1.472,0
2808,-0.168,0.074,12.902,4.181,-2.102,-1.105,0
2832,-0.077,0.093,12.895,5.311,-2.728,-1.243,0
2856,-0.086,0.115,13.015,6.716,-2.431,-1.823,0
2880,-0.113,0.180,12.804,8.617,-1.988,-2.518,0
2904,-0.132,0.242,12.644,7.731,-2.209,-2.304,0
2928,-0.086,0.235,12.661,5.853,-2.606,-2.281,0
2952,-0.105,0.182,12.728,4.891,-2.225,-2.632,0
2976,-0.072,0.244,12.792,4.693,-1.293,-2.411,0
3000,-0.069,0.316,12.785,3.807,-1.713,-2.708,0
3024,-0.048,0.321,12.831,3.082,-2.454,-2.724,0
3048,-0.041,0.304,12.850,3.662,-1.927,-2.876,0
3072,-0.096,0.364,12.854,3.479,-1.736,-2.800,0
3096,0.010,0.362,12.823,2.960,-2.507,-2.800,0
3120,-0.007,0.362,12.878,2.693,-1.049,-3.006,0
3144,-0.060,0.366,12.809,2.891,-2.148,-3.144,0
3168,-0.026,0.378,12.716,2.220,-3.629,-3.113,0
3192,-0.038,0.414,12.857,1.525,-1.767,-2.800,0
3216,0.000,0.395,12.778,1.372,-2.095,-2.342,0
3240,0.034,0.333,12.828,1.014,-3.164,-2.426,0
3264,-0.005,0.412,12.878,1.922,-3.354,-2.884,0
3288,0.072,0.385,12.869,2.243,-4.141,-2.151,0
3312,0.153,0.381,12.752,1.647,-4.973,-1.571,0
3336,0.081,0.462,12.874,1.914,-3.614,-2.342,0
3360,0.098,0.476,12.706,1.021,-3.331,-2.220,0
3384,0.182,0.424,12.675,-1.139,-3.454,-2.266,0
3408,0.141,0.467,12.740,-2.712,-1.706,-2.907,0
3432,0.144,0.407,12.658,-3.696,-0.217,-2.563,0
3456,0.170,0.383,12.759,-3.735,3.691,-2.808,0
3480,-0.007,0.381,12.814,-3.735,4.340,-3.449,0
3504,0.069,0.371,12.804,-3.819,5.302,-3.708,0
3528,-0.007,0.417,12.838,-4.139,4.600,-3.647,0
3552,0.007,0.280,12.819,-4.277,8.386,-3.831,0
3576,0.007,0.354,12.821,-4.124,8.959,-4.136,0
3600,-0.055,0.338,12.926,-3.803,7.211,-4.006,0
3624,-0.096,0.333,12.890,-3.345,7.432,-4.136,0
3648,-0.069,0.299,12.799,-2.254,2.142,-3.541,0
3672,-0.067,0.244,12.840,-1.574,3.180,-3.121,0
3696,-0.256,0.247,12.912,-1.536,3.127,-3.357,0
3720,-0.146,0.196,12.917,-2.170,5.302,-3.640,0
3744,-0.081,0.249,12.857,-1.200,6.844,-3.426,0
3768,-0.215,0.215,12.962,-1.139,3.913,-3.029,0
3792,-0.192,0.158,12.792,-1.132,8.264,-3.357,0
3816,-0.280,0.194,12.819,-0.918,8.195,-3.235,0
3840,-0.266,0.223,12.854,-1.567,9.898,-3.396,0
3864,-0.283,0.175,12.864,-1.528,14.562,-3.312,0
3888,-0.433,0.177,12.833,-1.391,15.966,-3.388,0
3912,-0.457,0.239,12.749,-2.017,12.753,-2.869,0
3936,-0.548,0.232,12.725,-2.025,12.211,-2.212,0
3960,-0.560,0.220,12.842,-1.765,7.775,-2.777,0
3984,-0.515,0.259,12.795,-0.658,5.233,-3.029,0
4008,-0.510,0.187,12.754,0.861,2.661,-2.472,0
4032,-0.599,0.235,12.811,0.639,2.340,-2.999,0
4056,-0.608,0.235,12.790,-0.193,4.432,-2.846,0
4080,-0.644,0.208,12.744,-0.147,3.768,-2.434,0
4104,-0.603,0.122,12.754,-0.292,3.371,-2.884,0
4128,-0.618,0.156,12.708,-0.895,3.020,-2.869,0
4152,-0.658,0.204,12.852,-0.658,2.546,-2.541,0
4176,-0.733,0.215,12.862,-1.269,4.447,-2.854,0
4200,-0.694,0.170,12.783,-1.460,5.195,-2.999,0
4224,-0.709,0.086,12.859,-1.070,5.119,-2.762,0
4248,-0.697,0.134,12.828,-1.284,5.844,-3.105,0
4272,-0.804,0.170,12.816,-0.849,6.104,-3.281,0
4296,-0.797,0.170,12.864,-0.689,7.684,-3.212,0
4320,-0.788,0.156,12.761,-0.147,11.096,-3.426,0
4344,-0.912,0.146,12.756,-0.048,9.432,-3.365,0
4368,-0.907,0.156,12.859,-0.635,7.508,-3.159,0
4392,-0.824,0.091,12.809,-0.093,4.676,-2.945,0
4416,-0.977,0.132,12.807,0.052,6.142,-3.083,0
4440,-0.970,0.117,12.752,-1.109,5.134,-3.457,0
4464,-1.051,0.129,12.833,-1.872,5.371,-3.296,0
