time,ax,ay,az,gx,gy,gz,label
1632,1.949,0.852,12.570,-7.241,93.311,-18.763,0
1656,1.733,0.613,12.874,-3.135,96.303,-18.961,0
1680,1.044,0.536,12.491,2.575,78.234,-13.412,0
1704,1.264,0.594,12.364,-2.364,76.013,-6.328,0
1728,1.202,0.757,12.378,-9.051,88.868,-10.229,0
1752,0.455,0.575,13.034,-21.386,100.479,-14.824,0
1776,0.160,0.555,12.890,-21.302,107.051,-17.648,0
1800,-0.093,0.558,12.730,-14.631,109.509,-19.900,0
1824,-0.737,0.666,12.227,-16.837,93.860,-20.656,0
1848,-0.886,0.414,13.101,-23.554,71.837,-16.397,0
1872,-1.257,0.093,12.603,-20.188,66.173,-13.198,0
1896,-1.336,0.010,12.067,-30.157,67.433,-11.839,0
1920,-1.628,-0.074,12.790,-38.440,69.166,-12.633,0
1944,-1.808,-0.366,12.684,-39.906,60.013,-13.557,0
1968,-1.674,-0.503,12.706,-44.020,41.761,-14.801,0
1992,-1.911,-0.342,12.397,-43.173,23.349,-13.358,0
2016,-1.755,-0.567,12.761,-41.768,18.746,-16.435,0
2040,-1.973,-0.769,13.029,-42.455,27.509,-19.816,0
2064,-1.903,-1.073,12.407,-38.906,26.395,-25.557,0
2088,-2.016,-1.073,12.469,-27.127,25.914,-21.732,0
2112,-2.045,-1.274,12.397,-21.577,2.822,-17.389,0
2136,-1.817,-1.360,12.936,-17.715,-16.643,-18.183,0
2160,-1.085,-1.542,12.637,-11.593,-9.247,-16.236,0
2184,-1.255,-1.547,12.414,-20.944,7.181,-7.595,0
2208,-1.891,-1.750,12.452,-29.554,11.601,-2.435,0
2232,-1.958,-1.949,12.153,-23.890,1.204,-7.778,0
2256,-1.592,-2.298,12.244,-6.325,-13.369,-13.564,0
2280,-1.001,-2.219,12.438,20.507,-27.330,-18.778,0
2304,-1.506,-1.621,13.125,56.308,-36.178,-25.152,0
2328,-0.804,-0.869,12.900,76.675,-72.437,-15.557,0
2352,-0.441,-0.632,12.835,78.484,-71.689,-4.465,0
2376,-0.491,-0.642,12.395,81.400,-47.384,-6.389,0
2400,0.220,-0.670,12.938,91.644,-38.247,-14.419,0
2424,0.560,0.120,13.209,107.720,-23.872,-22.702,0
2448,0.031,0.718,12.617,105.239,-25.086,-21.282,0
2472,0.237,0.781,12.016,94.713,-38.010,-14.771,0
2496,0.826,1.156,12.471,91.194,-22.124,-13.427,0
2520,0.723,1.635,12.457,89.392,-1.254,-12.679,0
2544,0.421,1.887,12.208,79.759,2.402,-10.664,0
2568,0.520,2.418,12.009,67.369,-7.453,-6.190,0
2592,1.255,2.605,12.768,60.995,-17.147,-2.618,0
2616,1.003,2.662,12.543,61.270,-11.956,-3.374,0
2640,0.934,2.899,12.115,57.026,-9.872,-2.236,0
2664,1.063,3.091,12.081,52.568,-6.033,1.771,0
2688,1.290,3.316,12.261,51.530,-3.888,3.672,0
2712,1.233,3.531,12.447,52.400,-6.094,3.145,0
2736,1.350,3.539,11.933,52.056,-9.659,0.581,0
2760,1.762,3.768,12.091,52.308,-3.422,-1.015,0
2784,1.666,3.996,11.856,57.514,-1.437,-3.061,0
2808,1.369,4.065,11.521,57.919,-1.140,-5.175,0
2832,1.630,4.310,11.700,54.171,-10.750,-4.748,0
2856,1.968,4.173,11.605,51.385,-6.995,-6.106,0
2880,1.774,4.690,11.279,50.438,0.166,-7.763,0
2904,1.836,4.899,11.179,43.209,4.692,-9.297,0
2928,2.095,5.011,11.068,34.232,1.105,-13.839,0
2952,1.930,4.968,11.013,25.247,12.204,-17.030,0
2976,1.851,5.327,11.128,14.018,24.891,-14.954,0
3000,1.841,5.248,11.102,5.522,23.326,-11.335,0
3024,1.614,5.176,10.853,-0.906,18.143,-9.725,0
3048,1.595,5.140,11.145,-11.310,17.677,-7.480,0
3072,1.465,5.121,11.250,-25.883,22.731,-8.114,0
3096,1.300,4.843,11.497,-42.883,12.410,-5.160,0
3120,1.824,5.143,12.052,-56.638,-2.544,-3.229,0
3144,1.987,4.324,11.760,-78.600,17.967,0.291,0
3168,2.200,3.778,11.337,-90.761,32.379,-3.206,0
3192,1.997,3.309,12.277,-96.257,45.189,-5.847,0
3216,1.647,3.091,11.976,-96.303,54.334,-12.190,0
3240,1.671,2.816,12.222,-99.776,53.273,-11.084,0
3264,1.707,2.253,12.761,-100.135,50.334,-11.244,0
3288,1.132,1.712,12.720,-95.142,66.066,-16.709,0
3312,0.807,1.604,12.967,-92.379,67.387,-23.603,0
3336,1.089,1.492,13.271,-92.501,45.341,-24.236,0
3360,0.893,0.881,13.216,-90.623,39.731,-23.366,0
3384,0.613,0.661,12.948,-87.806,37.983,-24.923,0
3408,0.553,0.333,12.625,-87.188,33.532,-21.465,0
3432,0.572,-0.115,12.981,-82.699,28.860,-19.900,0
3456,0.414,-0.328,12.775,-74.371,27.479,-20.503,0
3480,0.172,-0.618,12.481,-73.157,23.357,-19.435,0
3504,0.306,-1.077,12.184,-74.028,15.753,-18.244,0
3528,0.500,-1.097,12.653,-72.761,14.769,-19.320,0
3552,0.364,-1.528,12.340,-74.142,16.921,-19.320,0
3576,0.206,-1.791,12.256,-77.554,13.227,-17.923,0
3600,0.567,-2.064,12.395,-78.532,10.013,-17.419,0
3624,0.472,-2.421,12.301,-76.028,15.952,-17.694,0
3648,0.242,-2.729,12.163,-72.371,11.860,-17.587,0
3672,0.589,-2.998,12.208,-71.608,8.273,-18.251,0
3696,0.508,-3.187,12.227,-71.875,15.410,-18.610,0
3720,0.572,-3.563,12.225,-70.699,11.616,-18.076,0
3744,0.560,-3.888,12.057,-68.516,10.914,-17.832,0
3768,0.402,-4.068,11.870,-66.196,13.753,-18.931,0
3792,0.553,-4.271,12.076,-59.669,13.883,-17.763,0
3816,0.594,-4.604,12.033,-53.211,17.089,-18.358,0
3840,0.539,-4.676,11.784,-48.302,17.952,-19.076,0
3864,0.352,-4.796,11.598,-44.043,16.395,-20.160,0
3888,0.364,-4.851,11.418,-39.005,12.418,-18.992,0
3912,0.589,-5.042,11.370,-33.127,10.692,-18.732,0
3936,0.567,-5.045,11.329,-27.341,12.746,-19.160,0
3960,0.534,-5.250,11.303,-22.020,14.303,-17.664,0
3984,0.668,-5.229,10.884,-16.386,12.173,-17.671,0
4008,0.622,-5.246,11.078,-12.928,15.685,-17.542,0
4032,0.570,-5.258,11.212,-4.257,20.150,-16.251,0
4056,0.409,-5.215,11.461,8.835,21.402,-15.458,0
4080,0.283,-5.030,11.557,27.835,23.601,-15.511,0
4104,0.314,-5.009,11.811,49.033,27.280,-15.564,0
4128,0.505,-4.848,10.925,66.980,23.189,-16.106,0
4152,0.364,-4.542,11.092,73.285,23.853,-16.328,0
4176,0.227,-4.204,12.251,81.545,23.089,-12.595,0
4200,0.939,-3.905,12.227,99.728,14.311,-11.351,0
4224,0.922,-3.742,11.425,110.621,19.746,-17.771,0
