time,ax,ay,az,gx,gy,gz,label
1632,-0.165,-0.029,12.862,0.009,0.046,-0.054,0
1656,-0.199,0.000,12.852,-0.060,-0.076,0.068,0
1680,-0.208,-0.026,12.840,0.016,-0.045,-0.054,0
1704,-0.184,-0.022,12.807,-0.014,-0.061,0.068,0
1728,-0.172,-0.010,12.866,-0.030,-0.068,-0.107,0
1752,-0.213,0.000,12.828,-0.083,-0.045,-0.031,0
1776,-0.208,0.038,12.807,-0.014,0.046,-0.016,0
1800,-0.213,-0.029,12.833,0.054,-0.015,-0.092,0
1824,-0.189,0.012,12.787,0.001,-0.083,0.076,0
1848,-0.146,-0.012,12.862,-0.007,-0.068,-0.016,0
1872,-0.151,-0.010,12.842,-0.045,0.008,-0.038,0
1896,-0.199,0.000,12.804,-0.014,-0.022,0.053,0
1920,-0.213,-0.002,12.874,0.024,0.077,0.061,0
1944,-0.182,-0.022,12.850,-0.030,0.077,0.091,0
1968,-0.206,-0.038,12.857,-0.037,-0.083,-0.023,0
1992,-0.204,-0.014,12.871,0.001,0.054,0.061,0
2016,-0.227,-0.026,12.847,0.070,-0.007,0.045,0
2040,-0.199,0.010,12.878,-0.007,-0.007,-0.077,0
2064,-0.192,-0.048,12.852,0.062,0.046,-0.023,0
2088,-0.184,0.000,12.804,-0.007,-0.022,-0.038,0
2112,-0.201,-0.007,12.811,-0.060,-0.038,-0.023,0
2136,-0.204,-0.010,12.850,0.009,0.008,-0.061,0
2160,-0.196,-0.010,12.823,-0.007,0.008,0.030,0
2184,-0.213,-0.019,12.819,0.047,-0.099,-0.038,0
2208,-0.204,-0.029,12.823,0.077,-0.061,-0.016,0
2232,-0.215,-0.002,12.831,0.024,-0.022,-0.046,0
2256,-0.187,-0.010,12.847,-0.045,-0.045,0.053,0
2280,-0.187,-0.026,12.895,0.024,-0.083,0.091,0
2304,-0.211,0.012,12.819,-0.030,-0.038,0.099,0
2328,-0.144,-0.055,12.835,-0.007,-0.022,-0.000,0
2352,-0.187,-0.026,12.809,0.039,-0.007,0.023,0
2376,-0.201,0.007,12.819,-0.053,-0.030,0.015,0
2400,-0.208,-0.007,12.881,0.009,0.001,0.015,0
2424,-0.184,0.007,12.876,0.047,-0.030,-0.107,0
2448,-0.223,-0.019,12.831,0.054,0.008,-0.031,0
2472,-0.199,-0.041,12.823,-0.014,-0.099,-0.031,0
2496,-0.206,-0.017,12.859,-0.060,-0.045,0.007,0
2520,-0.254,-0.038,12.809,-0.030,-0.091,0.023,0
2544,-0.199,0.010,12.876,0.016,0.031,-0.054,0
2568,-0.177,-0.034,12.845,-0.014,0.016,0.015,0
2592,-0.170,-0.026,12.809,0.001,0.023,0.076,0
2616,-0.199,-0.026,12.852,0.054,0.115,0.084,0
2640,-0.189,0.019,12.821,-0.022,-0.045,0.084,0
2664,-0.163,-0.005,12.840,-0.045,0.054,-0.046,0
2688,-0.158,-0.010,12.831,0.039,0.069,-0.031,0
2712,-0.204,0.002,12.888,0.024,0.023,0.030,0
2736,-0.177,0.010,12.866,-0.045,-0.007,-0.016,0
2760,-0.189,-0.022,12.826,-0.037,-0.022,0.061,0
2784,-0.215,-0.045,12.876,-0.053,-0.030,0.030,0
2808,-0.192,-0.026,12.821,0.031,-0.061,0.099,0
2832,-0.211,0.000,12.826,0.031,-0.061,0.030,0
2856,-0.199,-0.026,12.850,0.016,-0.015,0.038,0
2880,-0.201,0.036,12.811,-0.060,0.077,0.015,0
2904,-0.201,-0.045,12.807,-0.060,-0.038,0.038,0
2928,-0.187,-0.024,12.842,-0.091,0.077,-0.061,0
2952,-0.204,-0.017,12.862,0.054,-0.007,-0.000,0
2976,-0.165,0.005,12.850,0.039,-0.045,0.030,0
3000,-0.206,0.002,12.833,0.054,0.001,-0.054,0
3024,-0.156,-0.093,12.768,-0.014,-0.061,-0.038,0
3048,-0.187,-0.014,12.883,0.047,-0.007,0.023,0
3072,-0.177,-0.014,12.850,0.001,0.016,-0.000,0
3096,-0.194,-0.012,12.881,-0.060,-0.022,0.007,0
3120,-0.196,-0.019,12.864,-0.014,0.031,0.007,0
3144,-0.218,-0.034,12.869,-0.007,0.023,-0.084,0
3168,-0.196,-0.024,12.831,-0.030,0.008,0.061,0
3192,-0.182,-0.036,12.821,0.070,0.008,0.045,0
3216,-0.213,-0.043,12.838,0.054,-0.076,-0.023,0
3240,-0.199,-0.017,12.823,0.047,0.016,0.015,0
