time,ax,ay,az,gx,gy,gz,label
1632,-0.156,-0.041,12.823,0.005,0.026,-0.036,0
1656,-0.189,-0.019,12.842,-0.048,0.026,0.048,0
1680,-0.192,-0.026,12.828,-0.048,0.056,0.010,0
1704,-0.204,-0.077,12.842,-0.041,-0.035,0.010,0
1728,-0.194,-0.038,12.862,0.013,0.087,0.079,0
1752,-0.204,-0.053,12.833,0.013,0.026,0.048,0
1776,-0.204,-0.043,12.857,0.020,0.033,-0.020,0
1800,-0.213,-0.012,12.831,0.005,0.033,0.041,0
1824,-0.168,-0.017,12.857,-0.033,-0.020,-0.020,0
1848,-0.182,-0.019,12.833,-0.025,-0.012,-0.036,0
1872,-0.175,-0.053,12.826,-0.025,0.033,-0.028,0
1896,-0.163,-0.041,12.826,-0.025,0.033,0.033,0
1920,-0.194,-0.043,12.893,0.036,0.018,0.041,0
1944,-0.189,-0.024,12.845,-0.033,-0.058,-0.043,0
1968,-0.168,-0.043,12.850,-0.003,0.087,-0.036,0
1992,-0.180,-0.036,12.866,0.005,-0.081,0.048,0
2016,-0.180,-0.045,12.869,-0.033,0.018,0.003,0
2040,-0.189,-0.041,12.842,-0.010,0.049,0.003,0
2064,-0.163,-0.065,12.850,-0.003,-0.020,-0.013,0
2088,-0.165,-0.005,12.847,0.020,0.018,-0.074,0
2112,-0.184,-0.034,12.814,-0.064,0.079,-0.013,0
2136,-0.187,-0.031,12.854,-0.064,0.003,0.064,0
2160,-0.175,-0.034,12.869,-0.003,-0.005,-0.058,0
2184,-0.182,0.007,12.840,-0.033,0.041,0.064,0
2208,-0.170,-0.022,12.917,0.036,-0.028,0.026,0
2232,-0.172,-0.022,12.828,0.058,-0.028,-0.020,0
2256,-0.180,-0.034,12.831,-0.018,0.010,0.087,0
2280,-0.184,0.005,12.859,-0.010,-0.066,-0.028,0
2304,-0.184,-0.077,12.828,0.097,-0.005,0.026,0
2328,-0.101,-0.007,12.687,1.028,-1.997,0.041,0
2352,-0.153,-0.053,12.866,0.570,-2.135,0.079,0
2376,-0.124,0.012,12.787,-0.171,0.728,-0.051,0
2400,-0.139,0.014,12.876,-0.995,3.041,-0.074,0
2424,-0.165,0.010,12.847,0.036,0.087,0.033,0
2448,-0.156,-0.024,12.811,0.036,-0.058,0.033,0
2472,-0.244,-0.017,12.852,-0.140,0.377,-0.043,0
2496,-0.144,-0.012,12.859,0.081,-0.264,0.018,0
2520,-0.192,-0.050,12.819,-0.048,0.209,-0.028,0
2544,-0.146,-0.024,12.859,-0.025,0.125,0.018,0
2568,-0.175,-0.036,12.792,-0.087,-0.005,-0.074,0
2592,-0.199,-0.041,12.852,0.058,-0.173,-0.036,0
2616,-0.165,-0.045,12.862,0.028,0.064,0.026,0
2640,-0.204,-0.077,12.838,-0.102,-0.005,0.033,0
2664,-0.211,-0.031,12.857,-0.033,0.026,0.026,0
2688,-0.201,-0.026,12.840,-0.025,-0.089,-0.066,0
2712,-0.187,-0.045,12.840,-0.018,0.018,-0.074,0
2736,-0.163,-0.091,12.874,-0.056,0.087,-0.013,0
2760,-0.201,-0.050,12.859,-0.018,-0.005,-0.066,0
2784,-0.208,-0.024,12.814,-0.048,-0.112,0.010,0
2808,-0.151,-0.026,12.936,0.036,0.049,-0.066,0
2832,-0.204,-0.022,12.840,0.066,-0.043,-0.005,0
2856,-0.223,-0.022,12.859,0.013,-0.219,0.041,0
2880,-0.208,-0.010,12.838,-0.018,0.102,-0.020,0
2904,-0.168,-0.010,12.823,0.074,0.079,-0.058,0
