sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
1907.0,617828.0,30.25,0.0,0.0,0.0,30.04,1
2111.0,680572.0,166.41,0.0,0.0,0.0,160.16,0
1931.0,625148.0,30.25,0.0,0.0,0.0,30.25,1
1966.0,635823.0,35.33,0.0,0.0,0.0,35.12,1
1703.0,555761.0,34.27,0.0,0.0,0.0,34.88,1
2105.0,678706.0,74.57,32.29,32.29,105.88,48.73,1
2582.0,826834.0,119.96,0.0,0.0,0.0,119.96,0
2261.0,726859.0,191.62,4.0,4.0,12.73,174.46,0
1290.0,429430.0,50.4,0.0,0.0,0.0,50.4,0
2730.0,872975.0,189.63,1.06,1.06,3.39,188.59,0
3378.0,1074641.0,75.63,-0.94,0.94,-3.06,77.44,0
1212.0,405557.0,62.55,-0.94,0.94,-3.07,70.77,0
2992.0,954755.0,31.2,-146.29,146.29,-467.38,148.23,1
1608.0,526786.0,39.32,-9.07,9.07,-29.65,49.82,1
1758.0,572520.0,26.14,0.0,0.0,0.0,26.76,1
1929.0,624538.0,30.25,0.0,0.0,0.0,29.83,1
2623.0,839542.0,128.11,1.06,1.06,3.43,126.88,0
712.0,250371.0,188.56,0.94,0.94,3.0,187.81,0
1667.0,544781.0,29.19,0.0,0.0,0.0,28.62,1
1126.0,378989.0,107.92,0.0,0.0,0.0,107.92,0
2672.0,854801.0,163.34,0.0,0.0,0.0,162.16,0
3190.0,1016125.0,211.79,-1.05,1.05,-3.31,213.8,0
235.0,98728.0,370.2,-0.94,0.94,-2.9,371.8,0
2993.0,955060.0,31.2,0.0,0.0,0.0,118.97,1
2815.0,899695.0,178.55,-0.94,0.94,-3.01,179.91,0
2069.0,667725.0,42.27,-11.2,11.2,-36.6,72.19,0
977.0,332834.0,115.01,0.0,0.0,0.0,114.8,0
2181.0,702413.0,38.26,0.0,0.0,0.0,38.26,1
1552.0,509649.0,59.49,0.0,0.0,0.0,60.12,0
998.0,339344.0,119.02,0.0,0.0,0.0,118.6,0
237.0,99377.0,370.2,0.0,0.0,0.0,370.79,0
296.0,118495.0,354.99,-1.06,1.06,-3.28,355.84,0
1957.0,633078.0,34.27,1.06,1.06,3.49,33.42,1
2608.0,834892.0,117.01,1.06,1.06,3.43,115.18,0
520.0,190086.0,197.64,-1.06,1.06,-3.38,200.11,0
1139.0,383006.0,104.86,-1.06,1.06,-3.44,106.08,0
2946.0,940357.0,177.49,121.06,121.06,395.63,80.64,1
471.0,174617.0,212.83,1.05,1.05,3.32,211.99,0
1701.0,555151.0,34.27,-1.06,1.06,-3.49,35.68,1
2693.0,861373.0,173.47,0.0,0.0,0.0,172.65,0
2179.0,701803.0,38.26,0.0,0.0,0.0,42.11,1
3243.0,1032778.0,171.47,0.0,0.0,0.0,172.67,0
2827.0,903452.0,171.47,-0.94,0.94,-3.01,172.86,0
1724.0,562166.0,28.25,0.0,0.0,0.0,28.43,1
445.0,166427.0,199.75,-0.94,0.94,-2.99,200.5,0
3309.0,1053341.0,119.02,-0.94,0.94,-3.04,120.6,0
2887.0,922167.0,132.07,0.0,0.0,0.0,133.09,0
3237.0,1030900.0,175.48,-1.06,1.06,-3.4,177.51,0
300.0,119791.0,354.99,0.0,0.0,0.0,354.99,0
3176.0,1011701.0,224.97,-0.94,0.94,-2.98,226.55,0
3179.0,1012649.0,221.9,-0.94,0.94,-2.98,223.91,0
