sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
0,17307,399.42,399.42,399.42,23.77,399.42,1
1,17633,398.36,-1.06,1.06,-3.26,398.89,0
2,17959,398.36,0.00,0.00,0.00,398.71,0
3,18285,398.36,0.00,0.00,0.00,398.63,0
4,18611,398.36,0.00,0.00,0.00,398.57,0
5,18937,398.36,0.00,0.00,0.00,398.36,0
6,19263,398.36,0.00,0.00,0.00,398.36,0
7,19589,398.36,0.00,0.00,0.00,398.36,0
8,19915,398.36,0.00,0.00,0.00,398.36,0
9,20241,398.36,0.00,0.00,0.00,398.36,0
10,20567,398.36,0.00,0.00,0.00,398.36,0
11,20893,398.36,0.00,0.00,0.00,398.36,0
12,21219,398.36,0.00,0.00,0.00,398.36,0
13,21545,398.36,0.00,0.00,0.00,398.36,0
14,21871,398.36,0.00,0.00,0.00,398.36,0
15,22197,398.36,0.00,0.00,0.00,398.36,0
16,22523,398.36,0.00,0.00,0.00,398.36,0
17,22849,398.36,0.00,0.00,0.00,398.36,0
18,23175,398.36,0.00,0.00,0.00,398.36,0
19,23501,398.36,0.00,0.00,0.00,398.36,0
20,23827,398.36,0.00,0.00,0.00,398.36,0
21,24153,398.36,0.00,0.00,0.00,398.36,0
22,24479,398.36,0.00,0.00,0.00,398.36,0
23,24805,398.36,0.00,0.00,0.00,398.36,0
24,25131,398.36,0.00,0.00,0.00,398.36,0
25,25457,398.36,0.00,0.00,0.00,398.36,0
26,25783,398.36,0.00,0.00,0.00,398.36,0
27,26109,398.36,0.00,0.00,0.00,398.36,0
28,26435,397.42,-0.94,0.94,-2.89,398.17,0
29,26761,397.42,0.00,0.00,0.00,397.98,0
30,27087,397.42,0.00,0.00,0.00,397.79,0
31,27413,397.42,0.00,0.00,0.00,397.61,0
32,27739,397.42,0.00,0.00,0.00,397.42,0
33,28065,397.42,0.00,0.00,0.00,397.42,0
34,28391,397.42,0.00,0.00,0.00,397.42,0
35,28717,397.42,0.00,0.00,0.00,397.42,0
36,29043,397.42,0.00,0.00,0.00,397.42,0
37,29369,397.42,0.00,0.00,0.00,397.42,0
38,29695,397.42,0.00,0.00,0.00,397.42,0
39,30021,397.42,0.00,0.00,0.00,397.42,0
40,30347,397.42,0.00,0.00,0.00,397.42,0
41,30673,397.42,0.00,0.00,0.00,397.42,0
42,30999,397.42,0.00,0.00,0.00,397.42,0
43,31325,397.42,0.00,0.00,0.00,397.42,0
44,31651,397.42,0.00,0.00,0.00,397.42,0
45,31977,397.42,0.00,0.00,0.00,397.42,0
46,32303,397.42,0.00,0.00,0.00,397.42,0
47,32629,397.42,0.00,0.00,0.00,397.42,0
48,32955,397.42,0.00,0.00,0.00,397.42,0
49,33281,397.42,0.00,0.00,0.00,397.42,0
50,33607,397.42,0.00,0.00,0.00,397.42,0
51,33933,397.42,0.00,0.00,0.00,397.42,0
52,34259,397.42,0.00,0.00,0.00,397.42,0
53,34585,397.42,0.00,0.00,0.00,397.42,0
54,34911,397.42,0.00,0.00,0.00,397.42,0
55,35237,397.42,0.00,0.00,0.00,397.42,0
56,35563,397.42,0.00,0.00,0.00,397.42,0
57,35889,397.42,0.00,0.00,0.00,397.42,0
58,36215,397.42,0.00,0.00,0.00,397.42,0
59,36541,397.42,0.00,0.00,0.00,397.42,0
60,36867,397.42,0.00,0.00,0.00,397.42,0
61,37193,397.42,0.00,0.00,0.00,397.42,0
62,37519,397.42,0.00,0.00,0.00,397.42,0
63,37845,397.42,0.00,0.00,0.00,397.42,0
64,38171,397.42,0.00,0.00,0.00,397.42,0
65,38497,397.42,0.00,0.00,0.00,397.42,0
66,38823,397.42,0.00,0.00,0.00,397.42,0
67,39149,397.42,0.00,0.00,0.00,397.42,0
68,39475,397.42,0.00,0.00,0.00,397.42,0
69,39801,397.42,0.00,0.00,0.00,397.42,0
70,40127,397.42,0.00,0.00,0.00,397.42,0
71,40453,397.42,0.00,0.00,0.00,397.42,0
72,40779,397.42,0.00,0.00,0.00,397.42,0
73,41105,397.42,0.00,0.00,0.00,397.42,0
74,41431,397.42,0.00,0.00,0.00,397.42,0
75,41757,397.42,0.00,0.00,0.00,397.42,0
76,42083,397.42,0.00,0.00,0.00,397.42,0
77,42409,397.42,0.00,0.00,0.00,397.42,0
78,42735,397.42,0.00,0.00,0.00,397.42,0
79,43061,397.42,0.00,0.00,0.00,397.42,0
80,43387,397.42,0.00,0.00,0.00,397.42,0
81,43713,397.42,0.00,0.00,0.00,397.42,0
82,44039,397.42,0.00,0.00,0.00,397.42,0
83,44365,397.42,0.00,0.00,0.00,397.42,0
84,44691,397.42,0.00,0.00,0.00,397.42,0
85,45017,397.42,0.00,0.00,0.00,397.42,0
86,45343,397.42,0.00,0.00,0.00,397.42,0
87,45669,397.42,0.00,0.00,0.00,397.42,0
88,45995,397.42,0.00,0.00,0.00,397.42,0
89,46321,397.42,0.00,0.00,0.00,397.42,0
